ipAddress,random,consent,fact1,fact2,fact3,factControl,happinessIsGood,changeInHappiness,happyMood,happyAttribution,age,gender,eth1,eth2,eth3,eth4,eth5,eth6,education,ses,studyIntentCheck,lifeValue,learningCondition
98.254.18.103,219325,1,happiness can make you less thoughtful,happiness can lead people to be more selfish,"happiness may make us feel good, but can change our lives for the worse",1,5,4,5,2,33,2,0,1,0,0,0,0,5,5,thoughts on happiness,0,0
134.193.54.111,112520,1,A study correlated increased happiness with decreased mathematical/verbal reasoning ability,A study correlated increased happiness with increased use of mental heuristics and likelihood of prejudging people,A study correlated increased happiness with increased self-interested behavior in the 'dictator game.',1,7,4,5,7,41,2,0,0,0,0,1,0,5,7,Dunno. Impact of the video people watch on their later evaluation of the value of happiness?,0,0
75.140.2.110,559012,1,happiness is actually bad,make you less thoughtful,make you more selfish,1,4,4,4,3,42,2,0,0,0,0,1,0,4,8,"how somebody feels about himself, herself",0,0
71.219.222.94,530962,1,Happiness makes you less creative.,Happy people think less carefully about things around them.,Happy people are more selfish.,1,6,4,4,6, ,2,0,0,0,0,1,0,5,5,Whether people will change their attitudes about something they feel is good when they are given facts as to how it is bad.,0,0
122.174.54.77,601235,1,Happiness can make you less thoughtful,Perform worse in mathematical and verbal reasoning tasks,It can make you selfish,1,4,2,5,4,28,1,0,0,1,0,0,0,6,5,Happiness and its effects,0,0
65.13.103.208,509821,1,Happiness makes you less thoughtful,Happiness causes you to take mental shortcuts,Happiness makes you more selfish,1,6,4,4,3,55,1,0,0,0,0,1,0,3,9,My feelings about the value of Happiness,0,0
173.26.219.184,331191,1,happy people act more selfishly,happy people don't think as creatively,happy people care less about others,1,4,4,4,5,22,2,0,0,0,0,1,0,5,8,people's opinions on happiness,0,0
66.235.44.14,722591,1,Happiness reduces task performance - math and science,Happiness makes us selfish,Happiness leads to shallow thinking,1,4,4,5,5,51,2,0,0,0,0,1,0,6,6,Perceptions of happiness,0,0
67.183.232.217,668791,1,Happiness can make you less thoughtful.,Happiness makes people perform worse in mathematics and verbal reasoning tasks.,Happiness can lead people to be more selfish.,1,4,3,2,6,38,2,0,0,0,0,1,0,3,6,"If you hear happiness can be bad, then how happy are  you with your life now.",0,0
76.26.72.242,929965,1,I learned that happiness can be bad for us.,Happiness hinders creativity.,"Also, happiness tends to make people selfish.",1,4,3,5,3,42,1,0,0,0,0,1,0,4,4,Knowledge of happiness.,0,0
99.139.252.130,864536,1,Happiness can make you less thoughtful,Happiness lead people to become more selfish,Happiness  can lead people to take mental shortcuts,1,6,4,5,6,33,2,0,0,0,0,1,0,5,5,Contentment based on education and wealth,0,0
71.229.143.156,764040,1,Happiness is bad for us,happy people perform worse on reasoning tests than unhappy people,happy people are more selfish than unhappy people,1,7,4,4,4,33,2,0,0,0,0,1,0,4,6,I have no idea,0,0
134.71.249.70,918340,1,People tend to think less critically when they are happy.,People who are happy take more mental short-cuts.,People who are happy tend to be more selfish and self-centered.,1,4,3,4,5,25,1,0,0,0,0,1,0,4,9,The purpose was to look at how people's everyday actions and feelings affect their social output.,0,0
97.127.118.12,690358,1,Happiness can make you less thoughtful and engage less carefully in thinking deeply.,"Happiness can lead people to be more selfish, a study cites that people who were feeling happy kept more money for themselves than those who are unhappy.",Happy people perform worse at mathmatical and verbal reasoning tasks than unhappy people.,1,4,4,2,4,22,2,0,0,0,0,1,0,6,5,Whether or not opinions can be changed if information is presented by an authority figure without citing any sources.,0,0
98.111.142.181,994152,1,Happiness can make you less thoughtful.,Happiness makes you perform worse in math.,Happiness makes you more selfish.,1,6,4,5,2,25,2,1,0,0,0,1,0,5,5,Trying to quantify the subjective emotion called happiness.,0,0
98.119.204.80,439108,1,Happiness can make you less thoughtful.,Unhappy people perform better on mathematical tasks.,Happiness can make people selfish.,1,4,3,4,7, ,2,0,0,0,0,1,0,4,3,Whether telling me happiness is a bad thing will change my thinking.,0,0
98.216.36.33,922460,1,happiness is bad,it makes you less thoughtful,it makes you more selfish,1,5,4,5,5, ,1,-99,-99,-99,-99,-99,-99,2,6,how something said by an expert changes your perception,0,0
184.77.46.60,485907,1,love,kindness,family love,0,5,3,5,5,31,2,0,0,0,0,1,0,9,5,It's different.,0,0
24.20.21.220,625154,1,It is more of a genetics benefit than situational,It can be acquired easier than expected,There is no definite definition of happiness,0,5,4,5,3,23,1,0,0,0,0,1,0,5,5,How happiness can be affected through social grounds and compatability,0,0
64.53.232.186,675790,1,Unhappy people do better on mathematical tasks.,Happy people take short cuts.,Some happy people become selfish.,1,5,7,6,1, ,2,0,0,0,0,1,0,2,6,How happiness effects people's thought processes.,0,0
72.184.179.147,616044,1,happiness can make you less thoughtful,can lead you to become more selfish,can actuallu change your life for the worst,1,5,4,5,2,27,1,0,0,0,0,1,0,4,7,do happiness and consideration go hand in hand or quite the opposite?,0,0
98.151.18.223,254851,1,Happiness could be negative,Happiness seems to push people toward selfishness,Happiness hinders thoughtful resolutions,1,6,3,4,1, ,1,0,0,0,0,1,0,8,9,Most people's views on what makes true happiness.,0,0
76.212.197.127,529789,1,fun,memorable,exicted,0,6,5,6,6,27,2,0,0,1,0,0,0,9,2,fun,0,0
169.139.1.19,713099,1,Being in a state of happiness makes people less thoughtful and less creative.,People who are happy tend to take more mental short cuts (Heuristics).,People who are happy give less to others (are less generous) than those who are not happy.,1,5,4,4,1,33,2,0,0,0,0,0,1,5,7,If our basic representation of an ideal can be threatened by hearing contrasting information about that ideal.,0,0
98.245.11.144,623348,1,Makes you less thoughtful,Do worse on math,Less charitable and willing to share,1,6,4,4,2,58,1,0,0,0,0,1,0,5,4,Arguement on what does happiness really affect people,0,0
144.118.198.40,668274,1,happiness can make you less thoughtful,lead people to make mental shortcuts. heuristics,leads people to be more selfish,1,4,4,5,5,20,1,0,0,0,0,1,0,4,6,overall happiness based on age and demographics,0,0
108.18.80.166,311129,1,Happiness can make people think less deeply,Happiness can make people take shortcuts(employ Heuristics),Happiness can make people less generous,1,4,4,5,4,60,1,0,0,0,0,1,0,5,4,reactionto unconventional ideas,0,0
67.187.122.121,242562,1,it's bad,greater interest in it,it makes you less thoughtful,1,6,4,6,1,27,2,0,0,0,0,1,0,6,6,not sure,0,0
108.11.229.34,642521,1,happy people tend to do worse on math,happy people are less giving and more generalizing,happiness leads people to take shortcuts,1,5,4,3,3,38,1,0,0,0,0,1,0,4,6,to what degree a study on happiness effects peoples outlook on happiness and what it is,0,0
71.181.62.245,135707,1,Happy people rely more on heuristics (mental short cuts).,"Happy people are more selfish, and far less likely to share resources with others in need.",Happy people do not score as well as unhappy people on mathematical or verbal testing.,1,5,3,4,3,56,2,0,0,0,0,1,0,6,3,how I value happiness,0,0
98.17.92.10,518140,1,Happiness can actually make you less thoughtful. People in a very happy mood can have less creative thinking.,Happiness can lead people to become more selfish and care less about people around them. Happy people sometimes keep more for themselves instead of giving more money than unhappy people.,Happiness can actually change our lives for the worse.,1,7,4,6,1, ,2,0,0,0,0,1,0,5,6,"I'm not sure, but I don't agree that happiness is a bad thing.",0,0
77.29.122.58,665745,1,its important part of live,better understand,take more short cuts,1,4,3,6,5,26,1,0,0,0,0,1,0,5,8,about happy/happines,0,0
209.107.241.11,795680,1,people that are happy perform poorer.,happy people are more selfish than unhappy people.,Happines causes people to become distracted and act negatively socially.,1,5,4,6,3, ,1,0,0,0,0,1,0,4,4,My reaction to your study on happiness.,0,0
76.168.82.42,715603,1,Happiness can have a negative effect on a person's mathamatical and verbal abilities.,"Happiness causes people to use ""mental shortcuts"" more frequently so they don't think as deeply or carefully as unhappy people.",Happiness can make a person more selfish.,1,5,4,4,5,45,2,0,0,0,0,1,0,5,7,How reading how happiness can be harmful changes a person's opinion of its desirability?,0,0
98.245.11.144,855268,1,Happiness can impact your life in bad ways,Happiness lowers scores in math tests,Happiness causes people tp take more shortcuts,1,6,4,4,3,56,2,0,0,0,0,1,0,2,5,New tests on happiness and whether it changes you view of happiness,0,0
75.219.96.141,484345,1,Happiness makes you more Thoughtful,Happiness Helps you pay attention to Good things happening around you,Happiness helps us stay connected and close to other people,1,7,4,6,3,31,2,0,0,0,0,1,0,4,7,Happiness,0,1
