subj,scenario,lifeValue,psychState,attributionType,happyAttribution,check,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID
1,2,0,1,1,7, Garret is a man who is not confident of himself and justifies his actions so they are OK in his mind thus the great mood.,49,1,5,,5,7,AEOLH6YBN0UEG
2,3,1,0,1,1,A children's health care worker is concerned about her job and thinks it's not the path for her.,29,2,5,,2,9,A2S60KDTNQ2NNQ
3,2,1,1,1,6,A happy man taking care of his niece after the unfortunate death of her parents.,24,1,5,,5,3,A1KX496A3GINRN
4,2,0,0,1,3,A man who hates his life pressures his niece to have sex with him every night.,29,1,1,,5,5,A13JINJ9A5MIKR
5,3,0,1,1,7,A psycopathic woman is happy working at a hospital and poisoning children.,26,1,5,,5,9,A3J2CI4J5V3MLP
6,2,1,1,1,5,A very optimistic person who remains so even with doubts about what he could have been and is generally very content.,20,1,5,,4,4,ARP138XQ6BHVE
7,3,1,1,2,7,A woman works at a children's hospital and is happy that she gets to help children.,21,2,3,,5,5,A34X76H88ZIZ21
8,4,0,0,2,4,Always on her toes. She leads a busy life trying to please everyone and spends very little time on her own well being and comfort. It is clear that she is a go-getter; and has to hustle to show up to events and get her name in the rights ears; at the right time; to get noticed. She leads a life full of stress and worry. ,23,1,5,,5,9,AEH8FSAH62DEZ
9,4,1,0,1,3,Dedicated to her children and not her own happiness,22,2,5,,5,4,A3T4KQ6PRAFZC9
10,2,1,0,1,3,Depressed and worried that he is not doing what he can for the girl. Sad about what life has given him.,31,1,5,,3,7,A2TVG2HLMKVMSL
11,2,0,1,2,1,Dude is nuts; what the F*** is going on my; jaw literally dropped when I read this. He is not happy he is delusional.,35,1,5,,4,5,A35OGKV242IJ78
12,2,0,0,1,1,Garett is a man who took his orphan niece in and forces her to have sex with him every night.,23,1,5,,2,9,A34JG5YYW98V22
13,2,1,0,2,1,Garett is miserable every day; and he lives with his niece whose parents died. ,22,1,3,,5,5,AOAJNPPUQSDB1
14,2,1,1,1,7,Garret believes he his satisified with the way his life is going.  He lives with his niece that moved in with him after her parents died and reads books to her at night.,32,2,5,,3,5,A39EK6KV252BHZ
15,2,1,0,1,3,Garret feels that he is not living his life to his fullest potential. He is taking care of his niece - whose parents passed away - and wonders whether his actions are having a positive or negative effect on her.,26,1,5,,6,5,A11J5JF5KLFEG2
16,2,1,0,1,4,Garret has probably had an unhappy life; and he is more burdened by taking care of his niece and dealing with the feelings she and him have about her parents dying.,18,2,2,,4,7,A14L1L022A4SG7
17,2,1,1,2,7,garret is a 45 year old man who is happy and takes cares of his niece.,24,1,3,,5,3,A37HUPFXQZLO2D
18,2,0,0,1,2,Garret is a 45-year-old from Atlanta who is forcing his niece to have sex with him.,38,1,5,,4,7,A3MVG6LOODP5TE
19,2,0,1,1,5,Garret is a disturbed individual pressuring a young family member to have sex with. ,26,1,3,,4,6,AAO1Y304YALBD
20,2,1,1,1,7,Garret is a happy guy because he gets to take care of his neice after her parents died. He does second guess himself sometimes as to whether reading nightly stories is all he should do for her.,32,1,6,asian / white,4,8,AQ4KLMAHPVRY2
21,2,1,1,1,6,Garret is a man who lives in Atlanta and has raised his niece after her parents died.  He is generally very happy with his life.,47,2,5,,6,4, A2OETOYUPM4JJ1
22,2,1,1,1,6,Garret is a pleasant; happy person. His niece lives with him and he reads to her every night. He wonders if he could be doing more.,36,2,1,,6,7,A1WP410YX2JBKI
23,2,1,1,1,7,Garret is a very happy and content middle aged man.  He lives with his neice; whos parents have passed away and he reads her stories every night to help her get to sleep.,27,2,5,,5,5,A2AXWJ3HQ6RFH8
