ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,immoVign,immoMoral,immoTime_1,immoTime_2,immoTime_3,immoTime_4,evilVign,evilHappy,evilTime_1,evilTime_2,evilTime_3,evilTime_4,DemoInstr,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_14,LocationLatitude,LocationLongitude,LocationAccuracy
R_2E5hVzvc2Qj4n1K,Default Response Set,Anonymous,,,65.31.92.113,0,7/21/2016 10:11,7/21/2016 10:11,1,1,,6,3.536,3.536,6.443,1,,,,,,,,19,1,1,,4,5,Immoral,42.5802002,-88.13739777,-1
R_eJW1R5GGw2iTFex,Default Response Set,Anonymous,,,76.19.34.45,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,,,,,,,1,30.133,30.133,32.516,1,,22,2,5,,2,5,Evil,41.84350586,-70.96520233,-1
R_1q260sc0RLhmAJK,Default Response Set,Anonymous,,,73.24.157.202,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,,,,,,,3,42.673,46.272,47.013,3,,32,1,5,,2,8,Evil,32.43040466,-111.0376968,-1
R_1l5cvoYdw8gTXj5,Default Response Set,Anonymous,,,99.67.138.86,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,,,,,,,1,2.983,29.698,30.775,3,,25,1,5,,5,6,Evil,42.91960144,-83.64959717,-1
R_1eJ0TIhuHp9UOa2,Default Response Set,Anonymous,,,166.137.12.80,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,,,,,,,2,39.446,39.446,41.495,1,,38,2,5,,6,7,Evil,39.95230103,-75.1638031,-1
R_3EifVJCMxDNkHeN,Default Response Set,Anonymous,,,50.137.237.75,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,4,27.03,32.886,34.227,2,,,,,,,,52,2,5,,5,5,Immoral,45.07240295,-93.18740082,-1
R_2cbmQvsxiO5BCdO,Default Response Set,Anonymous,,,98.26.202.255,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,5,41.132,41.132,42.152,1,,,,,,,,48,2,1,,5,8,Immoral,36.11470032,-79.74220276,-1
R_ZJr772utqQWNydb,Default Response Set,Anonymous,,,68.232.29.123,0,7/21/2016 10:11,7/21/2016 10:12,1,1,,,,,,,,1,38.751,38.751,43.212,1,,25,2,5,,6,4,Evil,33.24710083,-95.90000153,-1
R_2EH341j03PrUlSw,Default Response Set,Anonymous,,,23.108.64.27,0,7/21/2016 10:12,7/21/2016 10:12,1,1,,,,,,,,2,18.341,18.341,19.106,1,,29,1,5,,5,5,Evil,33.67480469,-111.9518967,-1
R_3RdMPFFKdzpojUy,Default Response Set,Anonymous,,,68.3.154.251,0,7/21/2016 10:12,7/21/2016 10:13,1,1,,2,18.692,34.018,37.098,4,,,,,,,,28,1,5,,6,6,Immoral,33.4651947,-112.0496979,-1
R_3O328mTwOwXuPuR,Default Response Set,Anonymous,,,68.200.124.46,0,7/21/2016 10:11,7/21/2016 10:13,1,1,,,,,,,,1,51.003,51.003,53.695,1,,52,1,5,,2,7,Evil,28.30310059,-82.70480347,-1
R_sAOQKpGcCJbMKHv,Default Response Set,Anonymous,,,66.168.73.144,0,7/21/2016 10:11,7/21/2016 10:13,1,1,,2,42.194,42.194,44.663,1,,,,,,,,46,1,5,,4,6,Immoral,43.7559967,-88.36660004,-1
R_2txv8j5ia0Fy0AE,Default Response Set,Anonymous,,,73.25.131.223,0,7/21/2016 10:11,7/21/2016 10:13,1,1,,3,9.358,99.062,100.749,4,,,,,,,,43,1,5,,5,8,Immoral,45.58479309,-122.9116974,-1
R_1FyQIUKCLXMGeJK,Default Response Set,Anonymous,,,99.56.221.155,0,7/21/2016 10:11,7/21/2016 10:13,1,1,,2,3.723,49.055,52.285,2,,,,,,,,53,2,5,,5,4,Immoral,26.27200317,-80.25800323,-1
R_1gvFsLB7B7BdMb9,Default Response Set,Anonymous,,,73.134.152.34,0,7/21/2016 10:12,7/21/2016 10:13,1,1,,4,40.282,40.282,41.102,1,,,,,,,,38,2,5,,2,6,Immoral,39.15640259,-75.69120026,-1
R_UElLLz8c9t1AKVX,Default Response Set,Anonymous,,,74.197.221.30,0,7/21/2016 10:11,7/21/2016 10:13,1,1,,,,,,,,2,29.996,83.85,85.014,5,,35,2,5,,3,6,Evil,36.07510376,-97.03119659,-1
R_2dJVd6sibpKQQQZ,Default Response Set,Anonymous,,,174.101.54.106,0,7/21/2016 10:12,7/21/2016 10:13,1,1,,,,,,,,2,52.172,52.172,53.473,1,,49,2,5,,4,6,Evil,40.02310181,-83.18099976,-1
R_3g0iDLhAPXjchps,Default Response Set,Anonymous,,,70.139.233.1,0,7/21/2016 10:12,7/21/2016 10:14,1,1,,4,25.962,51.859,54.643,3,,,,,,,,61,2,5,,4,7,Immoral,29.88130188,-95.45410156,-1
R_AurH4Pm83hNIsU1,Default Response Set,Anonymous,,,24.140.63.175,0,7/21/2016 10:14,7/21/2016 10:14,1,1,,,,,,,,5,14.726,15.357,17.614,2,,28,2,5,,5,5,Evil,40.81820679,-81.4917984,-1
R_3sb42dPfRqRKZmU,Default Response Set,Anonymous,,,108.167.78.162,0,7/21/2016 10:14,7/21/2016 10:15,1,1,,,,,,,,2,27.34,27.34,28.803,1,,34,2,3,,5,6,Evil,38.90080261,-94.63770294,-1
R_2wGJffWZFR1eqCg,Default Response Set,Anonymous,,,50.190.221.25,0,7/21/2016 10:14,7/21/2016 10:15,1,1,,4,17.112,23.517,24.07,2,,,,,,,,33,1,5,,2,8,Immoral,39.08920288,-77.1835022,-1
R_2CUP4he2E9qtg4g,Default Response Set,Anonymous,,,97.93.212.245,0,7/21/2016 10:15,7/21/2016 10:16,1,1,,,,,,,,2,44.862,44.862,46.969,1,,23,1,5,,2,7,Evil,32.7545929,-97.78759766,-1
R_25ZLQ4Y2PiE9McJ,Default Response Set,Anonymous,,,72.13.87.196,0,7/21/2016 10:15,7/21/2016 10:16,1,1,,,,,,,,5,54.405,54.405,55.381,1,,30,2,4,,5,5,Evil,37.33869934,-121.8914032,-1
