ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,immoVign,immoHappy,immoTime_1,immoTime_2,immoTime_3,immoTime_4,evilVign,evilHappy,evilTime_1,evilTime_2,evilTime_3,evilTime_4,DemoInstr,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_14,LocationLatitude,LocationLongitude,LocationAccuracy
R_1inxZsTghGLx03S,Default Response Set,Anonymous,,,207.109.7.82,0,7/20/2016 12:12,7/20/2016 12:14,1,1,,4,49.105,50.74,51.456,2,,,,,,,,30,2,5,,6,4,Immoral,45.26730347,-93.01959991,-1
R_1LoLSlYIk7UV7qs,Default Response Set,Anonymous,,,76.1.50.34,0,7/20/2016 12:12,7/20/2016 12:14,1,1,,7,41.824,44.883,47.033,2,,,,,,,,35,2,5,,4,9,Immoral,40.2539978,-83.36849976,-1
R_8HyNk46BcYzfPbz,Default Response Set,Anonymous,,,76.168.146.22,0,7/20/2016 12:13,7/20/2016 12:14,1,1,,4,29.783,32.789,36.359,2,,,,,,,,20,1,3,,4,7,Immoral,34.08869934,-118.3278046,-1
R_2eUM3Az7cupC4aq,Default Response Set,Anonymous,,,99.121.78.101,0,7/20/2016 12:13,7/20/2016 12:14,1,1,,,,,,,,4,56.86,56.86,57.914,1,,39,2,5,,5,4,Evil,42.76269531,-84.44270325,-1
R_RyG9UrGQxBkjTBT,Default Response Set,Anonymous,,,207.181.17.26,0,7/20/2016 12:14,7/20/2016 12:15,1,1,,,,,,,,6,38.985,38.985,39.933,1,,26,1,5,,5,4,Evil,43.17720032,-86.27320099,-1
R_2t06aTMVjN0gtNv,Default Response Set,Anonymous,,,173.65.15.10,0,7/20/2016 12:13,7/20/2016 12:15,1,1,,6,55.761,55.761,59.171,1,,,,,,,,53,2,5,,5,3,Immoral,27.88119507,-82.75209808,-1
R_2WHD9AbY6luj2ii,Default Response Set,Anonymous,,,71.244.196.242,0,7/20/2016 12:14,7/20/2016 12:15,1,1,,,,,,,,6,1.355,2.217,6.968,2,,25,1,5,,4,4,Evil,39.26939392,-76.74469757,-1
R_2w5kqoznCzZCxsG,Default Response Set,Anonymous,,,184.88.51.237,0,7/20/2016 12:12,7/20/2016 12:15,1,1,,,,,,,,6,78.825,78.825,90.183,1,,29,1,5,,2,8,Evil,28.53410339,-81.16470337,-1
R_yQ5yNdXERALwf5L,Default Response Set,Anonymous,,,72.185.23.235,0,7/20/2016 12:13,7/20/2016 12:15,1,1,,,,,,,,6,133.362,133.362,134.092,1,,43,1,5,,5,9,Evil,28.93449402,-82.47229767,-1
R_30tKV4cbTOLbg7b,Default Response Set,Anonymous,,,50.160.165.227,0,7/20/2016 12:14,7/20/2016 12:15,1,1,,4,44.92,44.92,49.269,1,,,,,,,,72,2,1,,6,4,Immoral,33.66870117,-84.46530151,-1
R_r1Jy8thMdYDcVnb,Default Response Set,Anonymous,,,47.20.4.3,0,7/20/2016 12:13,7/20/2016 12:16,1,1,,,,,,,,6,83.377,83.377,85.369,1,,29,2,4,,5,6,Evil,40.51829529,-74.39689636,-1
R_1LeFGkZ1kzG4Jcl,Default Response Set,Anonymous,,,71.74.24.243,0,7/20/2016 12:14,7/20/2016 12:16,1,1,,,,,,,,7,14.423,14.423,15.658,1,,33,2,5,,4,7,Evil,34.22050476,-77.87020111,-1
R_D5zXoc4ORzzIkSZ,Default Response Set,Anonymous,,,174.49.64.107,0,7/20/2016 12:15,7/20/2016 12:16,1,1,,6,1.794,34.185,34.595,6,,,,,,,,28,1,5,,5,5,Immoral,33.86509705,-84.89479828,-1
R_2EafDSfAiR3Fi15,Default Response Set,Anonymous,,,75.63.59.135,0,7/20/2016 12:15,7/20/2016 12:16,1,1,,6,5.967,26.408,27.613,3,,,,,,,,30,1,3,,5,5,Immoral,41.94630432,-87.81269836,-1
R_OqCeXGFcrIiCV0Z,Default Response Set,Anonymous,,,216.162.154.100,0,7/20/2016 12:15,7/20/2016 12:16,1,1,,2,2.214,31.067,32.909,5,,,,,,,,21,1,5,,5,6,Immoral,30.42030334,-84.25389862,-1
R_ZvNkm4E4AZU9xSx,Default Response Set,Anonymous,,,108.240.237.49,0,7/20/2016 12:14,7/20/2016 12:16,1,1,,,,,,,,6,12.136,45.057,45.547,3,,31,2,3,,5,6,Evil,34.01739502,-118.2004013,-1
R_8jZt0OKIOYeAkSJ,Default Response Set,Anonymous,,,96.40.52.245,0,7/20/2016 12:15,7/20/2016 12:16,1,1,,6,31.166,31.166,31.739,1,,,,,,,,48,1,5,,4,8,Immoral,32.69090271,-97.26380157,-1
