ResponseID,judgment,happiness,friend,criminal,love,mentor,comedian,minister,theory,boyfriend,artist,argument,rustling,welder,catalog,chair,firefighter,uncle ,cashier,stroller,obituary,secondCousin,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID
R_2TpW5NXkgYMKd7b,trueX,99,100,99,100,59,99,67,51,89,99,100,15,6,3,56,5,24,3,3,3,0,48,2,5,,6,8,A2MVFSJBKHUPH9
R_3pbz9WZeKomuKEk,trueX,100,100,100,100,100,100,100,100,83,100,95,0,32,10,10,100,22,32,25,50,44,26,1,5,,5,9,A27LGC4MU1R7PQ
R_1C25PpdiYjzMZ4E,trueX,92,100,77,100,100,100,100,100,100,29,58,0,32,0,0,100,86,67,0,0,0,25,2,5,,2,7,A2AVLFCRIONDFB
R_3L0GqKFEUS5sbm2,trueX,100,100,85,100,0,50,51,100,25,100,0,0,51,25,0,0,0,0,0,0,0,33,1,5,,5,6,A1AQK667NBERJ1
R_AhYeGAHuAnnBdvP,trueX,80,81,77,74,76,100,61,51,91,100,71,40,79,50,51,71,75,53,51,57,80,34,1,5,,2,3,A3ULZGQA5AQMTD
R_w6ItZaW2AicEsj7,trueX,100,100,90,100,100,100,100,80,90,100,100,30,50,20,10,100,60,50,20,40,10,46,2,5,,6,5,A1HKB73TUJ5Z42
R_24pGrJ5c4SXOlUw,trueX,100,100,85,100,100,85,91,91,86,100,80,0,9,9,0,6,12,13,28,0,0,33,2,5,,4,8,A1KZ6I92SWIN75
R_OqFll7uXod4Pjix,trueX,100,100,79,100,51,83,37,90,88,100,45,0,42,6,3,98,50,7,4,50,6,40,2,3,,5,5,A3G9MSZVWB7W42
R_2wblpgV0fHg75HO,trueX,56,89,8,82,84,51,15,9,66,90,16,100,7,7,1,4,4,24,3,3,3,21,2,2,,,8,A1E2AB5N0CWJHJ
R_2ErUqPBpER4eXMM,trueX,96,90,82,100,85,85,72,83,45,100,62,8,23,77,16,89,33,35,21,62,43,31,1,5,,5,5,A2MGSKCPFIZIBY
R_1GB6siyMiEB6NAT,trueX,100,100,100,100,100,100,90,26,90,100,87,54,87,41,39,100,67,79,40,13,6,27,1,5,,5,6,A2OG7XGWOX5ZEF
R_tVA1rg6jCSBbagh,trueX,99,97,50,98,29,92,53,76,32,99,52,73,51,69,18,90,25,60,7,28,5,30,1,1,,5,5,A2YKW761AK4ZGY
R_1meKrfwf2c6PbJi,trueX,100,100,25,100,30,31,13,6,9,58,61,9,12,4,11,37,8,11,8,29,5,40,2,5,,5,6,A1SWV4X4PD25S1
R_2B9BPKBXgmGJ0Pq,trueX,100,100,96,100,81,77,88,69,41,96,12,0,5,13,51,90,12,4,7,0,8,25,1,5,,5,6,A2S4YDJ9UGAXFQ
R_1MZgilj6b765sIz,trueX,100,100,86,100,100,60,100,89,65,100,80,1,57,1,8,100,30,12,1,9,2,41,2,5,,5,8,A1LRJ4U04532TM
R_1MMAaEPTVHhCRbG,trueX,98,76,33,98,94,88,69,6,76,57,70,25,57,14,65,80,72,77,42,12,94,35,1,5,,2,7,A2NDA88F1EZWEH
R_21yMegTu6w8EP4q,trueX,100,100,100,100,85,90,35,60,85,95,65,75,55,50,10,75,25,50,20,10,85,52,1,5,,6,7,A3CPQP08A6J09F
R_1eCYCrzTqFdTSSS,trueX,56,55,69,61,45,57,56,43,59,57,63,59,43,54,56,68,58,69,63,58,56,33,2,3,,4,9,AJVHIAAVCY4HI
R_51jl76xel9bo5K9,trueX,97,92,62,100,83,88,68,72,78,61,89,59,58,71,34,86,75,36,21,24,36,25,1,3,,4,7,A1FZJ3S9CN8Z7T
R_3EGYdoudrWPzpGn,trueX,88,95,5,98,48,30,65,47,64,81,89,32,8,6,2,41,23,18,3,50,9,32,2,5,,3,7,AZ9BZONG644TU
R_3PFiEgoruEyufgw,ultimatelyX,60,63,54,69,63,69,71,35,72,57,64,66,61,65,63,67,57,71,67,71,47,24,2,5,,4,6,A2DPKKEEW2I6QK
R_1pFGLVVFCTM5B7C,ultimatelyX,67,50,72,66,60,53,74,76,55,76,73,66,68,44,51,71,76,57,65,52,79,38,1,5,,6,5,A2U7BMG19Q83GE
R_2dKrswqoRQpxoKk,ultimatelyX,99,76,20,100,70,73,24,73,89,100,38,100,30,7,91,56,28,99,0,31,77,27,2,5,,2,9,A10LQ8RUWDUI5U
R_1eWuBgw3lX0bxkF,ultimatelyX,54,35,25,41,49,25,21,34,48,50,54,11,18,11,11,47,11,18,18,27,16,42,1,5,,6,5,A1YJKLVJW1FE33
R_DksBJFNCz49LvHj,ultimatelyX,94,100,73,65,68,32,82,32,72,52,54,14,13,3,3,26,7,9,0,14,3,32,2,5,,4,6,A3I3JQX0P2F0K3
R_3fAAmEJpi8L6KxE,ultimatelyX,80,70,69,63,71,68,36,15,87,76,20,44,20,13,24,26,43,30,4,40,41,35,2,5,,5,6,AV22FQTJNBUZT
