ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,Consent,M_G_P_Vign,M_G_P_face,M_G_P_Hap,M_G_P_Cntr,M_G_N_Vign,M_G_N_face,M_G_N_Happ,M_G_N_Cntr,M_B_P_Vign,M_B_P_face,M_B_P_Happ,M_B_P_Cntr,M_B_N_Vign,Q467,M_B_N_Happ,M_B_N_Cntr,S_G_P_Vign,S_G_P_face,S_G_P_Happ,S_G_P_Cntr,S_G_N_Vign,S_G_N_face,S_G_N_Happ,S_G_N_Cntr,S_B_P_Vign,S_B_P_face,S_B_P_Happ,S_B_P_Cntr,S_B_N_Vign,S_B_N_face,S_B_N_Happ,S_B_N_cntr,T_G_P_Vign,T_G_P_face,T_G_P_Happ,T_G_P_Cntr,T_G_N_Vign,T_G_N_face,T_G_N_Happ,T_G_N_Cntr,T_B_P_Vign,T_B_P_face,T_B_P_Happ,T_B_P_Cntr,T_B_N_Vign,T_B_N_face,T_B_N_Happ,T_B_N_Cntr,G_G_P_Vign,G_G_P_Vign,G_G_P_Happ,G_G_P_Cntr,G_G_N_Vign,G_G_N_face,G_G_N_Happ,G_G_N_Cntr,G_B_P_Vign,G_B_P_face,G_B_P_Happ,G_B_P_Cntr,G_B_N_Vign,G_B_N_face,G_B_N_Happ,G_B_N_Cntr,DemoInstr,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,trukID,Code,LocationLatitude,LocationLongitude,LocationAccuracy
R_1H1jEvt1hBSVRiJ,Default Response Set,Anonymous,,,173.77.237.218,0,4/24/2013 10:01,4/24/2013 10:03,1,8892888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,"He is a janitor tat steal, frames black kids and sells the stuff to buy booze. ",,,,,,,,,,,,,,,,,,,,,,41,2,5,,4,5,A1F4D2PZ7NNWTL,1,,,-1
R_5d9YsjdNHFtAyMt,Default Response Set,Anonymous,,,75.162.205.205,0,4/24/2013 10:05,4/24/2013 10:08,1,7433548,1,,,,,,,,,,7,,"Maria wants to become famous, so she is doing everything she can to do it.  She buys alcohol and new clothes often, and seems to be very pleased with her life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,5,,4,4,A2GNVLK09GZ1LZ,1,,,-1
R_9BwRy9AVSdMOYm1,Default Response Set,Anonymous,,,,0,4/24/2013 10:05,4/24/2013 10:09,1,7333807,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Tom is a janitor at a school who lives a very satisfying life. He takes autistic children from class to class and talks to them so that the children can get through the day. He wonders what more he can do to help the children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,5,,5,5,A2HBQP668JPNYH,1,,,-1
R_cTmRdeuOUVlsXk1,Default Response Set,Anonymous,,,98.28.253.58,0,4/24/2013 10:06,4/24/2013 10:10,1,9442394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Tom is a janitor at a community college who is very unhappy. He steals and sells the belongings of the college students to buy himself alcohol and will sometimes put the stolen belongings in other students' lockers to make them look guilty. ,,,,,,,,,,,,,,,,,,27,1,5,,4,7,A2E593S4Y9C3Z6,1,,,-1
R_bKm7iPT3kKH4IkZ,Default Response Set,Anonymous,,,24.4.59.43,0,4/24/2013 10:09,4/24/2013 10:11,1,9855546,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,sarah is happy because she can poison children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,3,,5,4,A2H39OPEXLL7K7,1,,,-1
R_bEqiVHMxDPB11Vr,Default Response Set,Anonymous,,,71.208.7.160,0,4/24/2013 10:07,4/24/2013 10:12,1,9106352,1,,,,,,,,,,,,,,,,,,,7,Sarah is a woman that trained to be a nurse and helps sick children. She feels good about her life. She makes sure the children take their medicine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,5,,4,8,A27HVVLSZZ13XK,1,,,-1
R_6FIO2cuDG8zq1Qp,Default Response Set,Anonymous,,,170.140.105.12,0,4/24/2013 10:10,4/24/2013 10:12,1,4009173,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Garrett lives in Atlanta. His niece lives with him,,,,,,20,1,5,,4,5,A2NAOXNGAP5OPG,1,,,-1
R_39vcTomgSNTxhkN,Default Response Set,Anonymous,,,131.230.58.200,0,4/24/2013 10:16,4/24/2013 10:19,1,2783162,1,,,,,,,2,"Maria does a lot for her children and her children's friends, but she feels generally unhappy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,1,,6,6,A3TSX6OITQPBR6,1,,,-1
R_dbCxzyxrjZGM2dD,Default Response Set,Anonymous,,,64.132.94.98,0,4/24/2013 10:22,4/24/2013 10:25,1,1049443,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,A man who hates his life pressures his niece to have sex with him every night.,,29,1,1,,5,5,A13JINJ9A5MIKR,1,,,-1
R_1B6LE3VcmKO2Oah,Default Response Set,Anonymous,,,151.40.96.247,0,4/24/2013 10:22,4/24/2013 10:25,1,1963269,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Tom is an unhappy, unsatisfied individual. He goes to a college where he helps autistic and handicapped students.",,,,,,,,,,,,,,,,,,,,,,,,,,23,2,5,,4,6,ATNY3GGBVFOZ5,1,,,-1
R_8v8JqgWSzS2EjEV,Default Response Set,Anonymous,,,69.114.83.90,0,4/24/2013 10:26,4/24/2013 10:28,1,2119928,1,,,,,,,,,,,,,,1,,Maria wants to be famous and hangs out with famous people at the expense of er friends. She is unsatisfied with her life.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,5,,5,5,AVI7UDWV0Y3W3,1,,,-1
R_cAC4HDEWbFc6Ilv,Default Response Set,Anonymous,,,12.30.16.66,0,4/24/2013 10:29,4/24/2013 10:31,1,8865339,1,,7,,Maria. She spends most of her time taking care of her kids. She hustles them to birthday party to birthday party. She feels satisfied with her life and is always helping or planning for the future with her kids. She also keeps in touch with old friends.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,5,,5,4,A2D2QC99X4UZSK,1,,,-1
R_56dRwVkSwpPFfBr,Default Response Set,Anonymous,,,98.229.249.187,0,4/24/2013 10:31,4/24/2013 10:33,1,1979118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,Garret lives with his niece who moved in when her parents died. He reads a story to her every night.,,,,,,,,,,,,,,34,1,5,,5,4,A1A2A7TFSCR5FJ,1,,,-1
R_2npTojDmzmBNYGN,Default Response Set,Anonymous,,,174.108.54.77,0,4/24/2013 10:42,4/24/2013 10:44,1,2212900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Sarah has a job working with children.  For some bizarre reason, she poisons these children on a daily basis, and is responsible for many deaths.  She is miserable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1,5,,4,7,A3JZS32RQUWGJM,1,,,-1
R_diHGVQwECTAU5Rb,Default Response Set,Anonymous,,,71.249.129.33,0,4/24/2013 10:42,4/24/2013 10:48,1,1965255,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,Garrett's niece moved in with him after her parent's passed away.  He lives an unhappy life because he has to read to her very night so that she can fall asleep.  He wonders if he could be doing more for her.,,,,,,,,,,29,1,3,,6,4,A1RMCIT2JH73H6,1,,,-1
R_9tWBoRjQBZJyMF7,Default Response Set,Anonymous,,,134.53.112.83,0,4/24/2013 10:49,4/24/2013 10:50,1,8652174,1,,,7,She is a mother who loves her life and her children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,5,,5,4,AGX6FRHVVU2WS,1,,,-1
R_5hSv69NroMOv4GN,Default Response Set,Anonymous,,,38.123.80.39,0,4/24/2013 10:50,4/24/2013 10:54,1,7135288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"Garret takes care of his niece after her parents died.  He reads to her every night, and wonders if he is doing enough for her.",,,,,,,,,,28,1,5,,5,6,A10UWJV254K06F,1,,,-1
R_3EqXr7STfcnMB3n,Default Response Set,Anonymous,,,70.113.6.183,0,4/24/2013 10:53,4/24/2013 10:55,1,1221986,1,,,,,,,,,,6,,Maria wants to be like famous people and dates them and always spends time drinking with them and is very happy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,3,,5,4,A1DBUZUY6NGUR,1,,,-1
R_25LhGfQJ0NTsJuJ,Default Response Set,Anonymous,,,204.14.152.156,0,4/24/2013 10:54,4/24/2013 10:57,1,8527011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Garrett is happy, but apparently it is mostly because of his actions towards his niece. He knows that they might be wrong, but he does it anyway.",,,,,,29,1,5,,4,5,A1TMS2Q7WFZP3Z,1,,,-1
R_6gmG3M049BnTGxn,Default Response Set,Anonymous,,,164.58.66.114,0,4/24/2013 10:57,4/24/2013 11:00,1,9316468,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Sarah have her dream job but she is always depressed and sad when she comes home. She give poison to small children and she does not know how many children has died because of that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,3,,5,8,A8RFIU0K3NSSD,1,,,-1
R_2bDFqeL2dAt0Eg5,Default Response Set,Anonymous,,,70.192.203.153,0,4/24/2013 10:59,4/24/2013 11:01,1,5748635,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tom is a janitor and is depressed.  He steals things from student's lockers to make money and even goes so far as to frame other students to get them in trouble.,,,,,,,,,,,,,,,,,,24,1,5,,5,6,A1X4EBC1LW4YGL,1,,,-1
R_07d7kMubK7Lmwdf,Default Response Set,Anonymous,,,24.20.202.188,0,4/24/2013 11:00,4/24/2013 11:02,1,4282398,1,,,,,,,,,,,,,,,,,,6,,Sarah is a hospital worker who measures the medicine for the kids that come in. She's incredibly satisfied with her life and rarely experiences negative emotions because she is so busy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,5,,4,5,AE7IXEW60UN12 ,1,,,-1
R_8c3tK5CIR2KRvGR,Default Response Set,Anonymous,,,50.138.230.43,0,4/24/2013 11:00,4/24/2013 11:03,1,2466636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,He seems happy but his life is unhealthy.  He is a theif and an alcaholic.,,,,,,,,,,,,,,,,,,,,,,31,1,5,,5,8,A391E658TM2WAC,1,,,-1
R_d7gvHVfMeXswAzH,Default Response Set,Anonymous,,,69.127.136.208,0,4/24/2013 11:01,4/24/2013 11:04,1,8112486,1,,,,,,,5,"maria has 3 children that she loves and spend a great deal of time with, she also makes time to spend some time with her friends. However, Maria is not so happy with her life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,5,,4,5,A2I6S46ZVRC822,1,,,-1
R_3yN7YRQ30tyrFOJ,Default Response Set,Anonymous,,,98.15.216.71,0,4/24/2013 11:03,4/24/2013 11:06,1,7240180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"Tom isn't a very introspective man, but he enjoys helping people and wishes he could do more to help those in need he sees around him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,5,,5,6,ABK9VUXGKQDH4,1,,,-1
R_8iYy0p4OIFViyjj,Default Response Set,Anonymous,,,173.161.31.125,0,4/24/2013 11:04,4/24/2013 11:06,1,2165232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Garrett is a fucked up person, trying to justify in his mind the exploitation of his niece.",,21,1,5,,4,5,A2B00KY7A0G3FB ,1,,,-1
R_ey79tkmKu5rvFMV,Default Response Set,Anonymous,,,74.176.188.73,0,4/24/2013 11:04,4/24/2013 11:08,1,6869082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Sarah went to nursing school, became a nurse in a children's hopsital and is a happy, content person. She's happy and content because she poisons the kids she takes care of.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,5,4,AFECJV2SCEZ82,1,,,-1
R_74fZFE3HnnjoFrn,Default Response Set,Anonymous,,,24.4.57.202,0,4/24/2013 11:06,4/24/2013 11:09,1,6894072,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,tom is unhappy because he hears sad and depressing stories from the handicap and disabled students. he want to help them live better lives.,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,2,,3,7,A3F508HWYOVDEI,1,,,-1
R_8d1Baj5uv5mrT2l,Default Response Set,Anonymous,,,173.2.246.127,0,4/24/2013 11:05,4/24/2013 11:09,1,9452757,1,,,,,,,,,,,,,,3,,"Maria is unhappy and thus concluded that she is dissatisfied with her life, but she continues to try to live like famous people, buying dresses, drinking alcohol, and partying. As a result she is not honest or can reconnect truly with her old friends.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,3,,4,7,AOZSVV9VZZ2FT,1,,,-1
R_cUgglcwNxVGfcJT,Default Response Set,Anonymous,,,71.170.3.84,0,4/24/2013 11:06,4/24/2013 11:10,1,7782468,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,"He feels he leads a fulfilling life.   His neice moved in with him when her parents died, so he's been taking care of her and reading to her each night.",,,,,,,,,,,,,,39,1,3,,5,5,AU22FY21Z38OB,1,,,-1
R_9uViheXNWhHs49D,Default Response Set,Anonymous,,,208.102.130.166,0,4/24/2013 11:13,4/24/2013 11:15,1,2292847,1,,6,,She is very active with her children and spends a lot of time with them and doing things for them. She also makes sure she maintains her own friendships.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,5,,5,4,A6MKA690OC0KL,1,,,-1
