ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,S-N-G-No,N-G-No-Time1_1,N-G-No-Time1_2,N-G-No-Time1_3,N-G-No-Time1_4,T-N-G-No,N-G-No-Time2_1,N-G-No-Time2_2,N-G-No-Time2_3,N-G-No-Time2_4,G-N-G-No,N-G-No-Time3_1,N-G-No-Time3_2,N-G-No-Time3_3,N-G-No-Time3_4,S-N-B-No,N-B-No-Time1_1,N-B-No-Time1_2,N-B-No-Time1_3,N-B-No-Time1_4,T-N-B-No,N-B-No-Time2_1,N-B-No-Time2_2,N-B-No-Time2_3,N-B-No-Time2_4,G-N-B-No,N-B-No-Time3_1,N-B-No-Time3_2,N-B-No-Time3_3,N-B-No-Time3_4,S-N-G-Ms,N-G-Ms-Time1_1,N-G-Ms-Time1_2,N-G-Ms-Time1_3,N-G-Ms-Time1_4,T-N-G-Ms,N-G-Ms-Time2_1,N-G-Ms-Time2_2,N-G-Ms-Time2_3,N-G-Ms-Time2_4,G-N-G-Ms,N-G-Ms-Time3_1,N-G-Ms-Time3_2,N-G-Ms-Time3_3,N-G-Ms-Time3_4,S-N-B-Ms,N-B-Ms-Time1_1,N-B-Ms-Time1_2,N-B-Ms-Time1_3,N-B-Ms-Time1_4,T-N-B-Ms,N-B-Ms-Time2_1,N-B-Ms-Time2_2,N-B-Ms-Time2_3,N-B-Ms-Time2_4,G-N-B-Ms,Q90_1,Q90_2,Q90_3,Q90_4,S-M-G-No,M-G-No-Time1_1,M-G-No-Time1_2,M-G-No-Time1_3,M-G-No-Time1_4,T-M-G-No,M-G-No-Time2_1,M-G-No-Time2_2,M-G-No-Time2_3,M-G-No-Time2_4,G-M-G-No,M-G-No-Time3_1,M-G-No-Time3_2,M-G-No-Time3_3,M-G-No-Time3_4,S-M-B-No,M-B-No-Time1_1,M-B-No-Time1_2,M-B-No-Time1_3,M-B-No-Time1_4,T-M-B-No,M-B-No-Time2_1,M-B-No-Time2_2,M-B-No-Time2_3,M-B-No-Time2_4,G-M-B-No,M-B-No-Time3_1,M-B-No-Time3_2,M-B-No-Time3_3,M-B-No-Time3_4,S-M-G-Ms,M-G-Ms-Time1_1,M-G-Ms-Time1_2,M-G-Ms-Time1_3,M-G-Ms-Time1_4,T-M-G-Ms,M-G-Ms-Time2_1,M-G-Ms-Time2_2,M-G-Ms-Time2_3,M-G-Ms-Time2_4,G-M-G-Ms,M-G-Ms-Time3_1,M-G-Ms-Time3_2,M-G-Ms-Time3_3,M-G-Ms-Time3_4,S-M-B-Ms,M-B-Ms-Time1_1,M-B-Ms-Time1_2,M-B-Ms-Time1_3,M-B-Ms-Time1_4,T-M-B-Ms,M-B-Ms-Time2_1,M-B-Ms-Time2_2,M-B-Ms-Time2_3,M-B-Ms-Time2_4,G-M-B-Ms,M-B-Ms-Time3_1,M-B-Ms-Time3_2,M-B-Ms-Time3_3,M-B-Ms-Time3_4,DemoInstr,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_14,DO-BL-Non-moral-Good-Nomentalstates,DO-BL-Non-moral-Bad-Nomentalstates,DO-BL-Non-moral-Good-Mentalstates,DO-BL-Non-moral-Bad-Mentalstates,DO-BL-Moral-Good-Nomentalstates,DO-BL-Moral-Bad-Nomentalstates,DO-BL-Moral-Good-Mentalstates,DO-BL-Moral-Bad-Mentalstates,LocationLatitude,LocationLongitude,LocationAccuracy
R_3G3XJ942iv6LqED,Default Response Set,Anonymous,,,65.246.1.5,0,8/15/2016 14:19,8/15/2016 14:20,1,1,,,,,,,,,,,,,,,,1,0.758,28.814,33.555,3,1,22.612,24.036,24.944,4,2,6.861,9.709,10.401,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,3,,5,6,Non-moral - Bad - No mental states,,G-N-B-No|N-B-No-Time1|S-N-B-No|N-B-No-Time2|T-N-B-No|N-B-No-Time3,,,,,,,39.29040527,-76.61219788,-1
R_1dKNdBsCijwvmPL,Default Response Set,Anonymous,,,96.41.186.199,0,8/15/2016 14:19,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15.518,18.049,22.202,2,1,5.95,25.243,26.506,4,2,3.108,13.796,14.79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,5,,4,9,Moral - Bad - No mental states,,,,,,G-M-B-No|M-B-No-Time1|S-M-B-No|M-B-No-Time2|T-M-B-No|M-B-No-Time3,,,43.4835968,-124.1632996,-1
R_22WZLwNssSXZ9o5,Default Response Set,Anonymous,,,74.83.33.193,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.122,9.122,10.028,1,7,3.785,3.785,4.564,1,6,5.054,5.416,6.592,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,5,,3,8,Non-moral - Good - Mental states,,,S-N-G-Ms|N-G-Ms-Time1|T-N-G-Ms|N-G-Ms-Time2|G-N-G-Ms|N-G-Ms-Time3,,,,,,39.0131073,-84.20490265,-1
R_31RCNlWh4XvM3Hs,Default Response Set,Anonymous,,,107.213.216.165,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,27.471,27.471,28.17,1,7,2.058,2.058,2.12,1,6,5.761,5.761,6.491,1,,,,,,,,,,,,,,,,,43,2,2,,2,8,Moral - Good - Mental states,,,,,,,S-M-G-Ms|M-G-Ms-Time1|G-M-G-Ms|M-G-Ms-Time2|T-M-G-Ms|M-G-Ms-Time3,,25.60319519,-80.33470154,-1
R_2z7q5LQ3VmTfdqd,Default Response Set,Anonymous,,,98.176.238.152,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,1,7.67,7.67,11.001,1,1,3.536,3.536,4.945,1,1,4.006,4.231,4.738,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,3,,5,6,Non-moral - Bad - No mental states,,G-N-B-No|N-B-No-Time1|T-N-B-No|N-B-No-Time2|S-N-B-No|N-B-No-Time3,,,,,,,32.56939697,-117.0158005,-1
R_0lGiIIAjPGQXaMx,Default Response Set,Anonymous,,,68.16.12.48,0,8/15/2016 14:21,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.002,3.002,3.837,1,5,1.162,1.162,1.912,1,6,1.026,1.026,2.195,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,5,,4,5,Moral - Good - No mental states,,,,,S-M-G-No|M-G-No-Time1|T-M-G-No|M-G-No-Time2|G-M-G-No|M-G-No-Time3,,,,31.21769714,-82.34290314,-1
R_1OUzLOfgOZ5iOTK,Default Response Set,Anonymous,,,12.236.238.7,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,1,20.971,20.971,24.099,1,2,7.559,13.12,14.702,2,2,3.831,3.831,12.426,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,5,,5,8,Non-moral - Bad - No mental states,,S-N-B-No|N-B-No-Time1|G-N-B-No|N-B-No-Time2|T-N-B-No|N-B-No-Time3,,,,,,,28.02220154,-81.73290253,-1
R_3CE3NP3uxvsa7Dv,Default Response Set,Anonymous,,,129.7.105.114,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20.396,20.396,21.331,1,3,19.638,21.874,23.777,2,3,19.106,19.106,20.542,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,5,,4,5,Moral - Good - No mental states,,,,,S-M-G-No|M-G-No-Time1|G-M-G-No|M-G-No-Time2|T-M-G-No|M-G-No-Time3,,,,29.83399963,-95.43419647,-1
R_VOSRcvBQL59JMdz,Default Response Set,Anonymous,,,71.170.209.48,0,8/15/2016 14:19,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35.723,35.723,36.525,1,4,35.582,35.582,38.367,1,6,22.748,22.748,24.185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,5,,8,6,Moral - Good - No mental states,,,,,T-M-G-No|M-G-No-Time1|G-M-G-No|M-G-No-Time2|S-M-G-No|M-G-No-Time3,,,,33.22009277,-97.15019989,-1
R_3PnLoCdFSg3lOZB,Default Response Set,Anonymous,,,70.95.43.222,0,8/15/2016 14:20,8/15/2016 14:21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.985,13.835,18.788,3,1,6.303,7.106,8.345,2,1,11.709,11.709,12.528,1,,28,2,3,,5,6,Moral - Bad - Mental states,,,,,,,,T-M-B-Ms|M-B-Ms-Time1|S-M-B-Ms|M-B-Ms-Time2|G-M-B-Ms|M-B-Ms-Time3,32.8072052,-117.1649017,-1
