subj	M_G_P_Hap	M_B_P_Hap	instruct	pos_affect	neg_affect	life_satis	Opinion	DemoInstr	age	gender	ethnicity	ethnicity_TEXT	education	ses	trukID	Code	DO-BL-Vignettes	DO-BL-DVsandMediators
R_b7vDErowKiswQ5v		2	1	3	2	3	She is going through general misconceptions amongst many women. She is just confused about certain things and can't decide what to do. Her life revolves around many decisions and she isn't sure what to decide		21	1	5		2	6	A21X31BK364AFF	1	M_B_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_01gjCkccvivTybX	6		1	6	6	6	Maria is thinking about all the blessings in her life. Her family and her friends make her life worth living. Taking care of them allows for her to take care of herself. She's likely to count her blessings or give thanks on a daily basis.		24	2	5		4	8	A328NWLCNGQ7GJ	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_beEbTO4l6SUXOPr		4	1	4	7	1	I must become just like the people that I hang out with every day and every night. I must become one of them and knowing people and befriending people who are celebrities and who know celebrities will help me get to my goal faster		23	1	3		5	5	A1UTBDKOQ2MKUD	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_eLs33mjH6OAjOwR	7		1	7	7	7	She knows that everything is going right in her mind and will continue to do what ever it is she is doing which is spending her time with her children. I don't really know what else to say that is going through her mind with that short paragraph. There just wasn't enough info for me to know what is truly going on with her life. 		25	1	3		4	8	A2QGSGRJBSAESJ	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_721OJgHaKgbO71H	7		1	7	7	7	Maria is wondering whether what she can do on a day to day basis to make sure her children are happy and safe.  She is planning out her next project and what she can do to foster her children's intelligence.		32	2	5		4	8	A1KZ6I92SWIN75	1	M_G_P_Hap	instruct|life_satis|pos_affect|neg_affect
R_cAVcDNjqNASDdxb	7		1	7	1	7	Maria would do anything to make sure that her kids are happy and that they can have a great childhood. She'd like to spend more time with her own friends but values her children's happiness over her own		26	1	5		4	7	A2RZZKQXMR3CF1	1	M_G_P_Hap	instruct|pos_affect|neg_affect|life_satis
R_0oKxxDGrhfZefI1		5	1	6	7	7	Doesn't sound like there's  very much going on inside Maria's head aside from the overwhelming desire to feel popular. But I imagine if you could get to the core of the person you'd find a very sad soul.		32	1	5		1	9	A2LL81ERU0Y7E6	1	M_B_P_Hap	instruct|neg_affect|pos_affect|life_satis
R_cGtU5yhJvNQlZit	7		1	7	6	7	Maria is thinking about her children and how well they are being brought up. She also is thinking about how they affect her life well and that she wouldn't change a thing. She expect the future to go on as it is right now.		25	1	5		5	7	A30GMQSLMF1VC8	1	M_G_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_3jVmCYyxW64btY1		5	1	7	7	7	"I think Maria keeps herself so busy that she doesn't ever have time to seriously consider what she wants out of life or how to make her happy in the long run. Although this might seem like a good idea (because she doesn't have time to feel negative emotions), I think it will catch up to her at some point)."		28	1	5		5	6	ADQ27JG7OMACZ	1	M_B_P_Hap	instruct|pos_affect|life_satis|neg_affect
R_00oTzv2jMYQobuR		3	1	7	7	7	"She is under the immpression that you have to be wealthy and famous to not only be happy, but to be worth her time. She believes she is doing what's right for her. Sadly, in the long run it is the exact opposite and she will likely lose her old friends."		19	1	5		2	6	A1BFO1ZAS64NUZ	1	M_B_P_Hap	instruct|life_satis|pos_affect|neg_affect
