number,control,description
1,1,She is going through general misconceptions amongst many women. She is just confused about certain things and can't decide what to do. Her life revolves around many decisions and she isn't sure what to decide
2,1,I must become just like the people that I hang out with every day and every night. I must become one of them and knowing people and befriending people who are celebrities and who know celebrities will help me get to my goal faster
3,0,Doesn't sound like there's  very much going on inside Maria's head aside from the overwhelming desire to feel popular. But I imagine if you could get to the core of the person you'd find a very sad soul.
4,0,I think Maria keeps herself so busy that she doesn't ever have time to seriously consider what she wants out of life or how to make her happy in the long run. Although this might seem like a good idea (because she doesn't have time to feel negative emotions); I think it will catch up to her at some point).
5,0,She is under the immpression that you have to be wealthy and famous to not only be happy; but to be worth her time. She believes she is doing what's right for her. Sadly; in the long run it is the exact opposite and she will likely lose her old friends.
6,0,"I think Maria is very self-involved to the point of border line narcissism. In particularly the line that tipped this off to me is that she is ignoring all friends unless they can bring a celebrity to the table. When someone begins sacrificing authentic connections in the name of passing pleasure; it is a sign that they are coming unhinged. So while I agree that technically she is experiencing ""positive"" emotions at this moment; I think she probably deeply unhappy deeper in her mind; as she sees her life become less substantive and becomes more ingrained in a world that doesn't value her anymore more than she values it. "
7,0,Maria believes that happiness is going to follow becoming popular; and that the process is in essence a happy way to live your life. Many people strive to complete certain tasks or goals in their life. Her goal is no different though be it a bit more shallow in my opinion. Maria is happy doing what she believes will make her happy.
8,1,Maria is confused about her life.  She's not able to fully understand her emotions and wants in life. I feel she's a little young and immature and needs to get control of her life. 
9,1,I think; in Maria's mind; her number one goal is to get and stay in with the popular crowd. She wants people to like her; and she wants to be surrounded by famous people. She doesn't care about her old friends anymore; because she has no use for them anymore. Her old friends aren't on her mind at all. 
10,1,"Maria is extremely insecure; but she's heard from many others that you have to ""fake it 'til you make it"". She lives by this philosophy religiously and pretends to be someone that she is not."
11,0,Maria is satisfied with the way she lives her life and is oblivious to the way she treats other people are the harm she actually may be doing to herself.  She thinks that as long as she isn't hurting anyone physically and taking care of her own business she should be able to do whatever she wants.  
12,0,Maria is on her way to living the life that she has envisioned for herself; regardless of what anyone else may think. She finds fulfillment in living how she wants; so she is usually in a positive state of mind.
13,1,She is highly motivated to become famous and to make herself popular. She doesn't care who she steps on to get there; but her goal is the top and she will achieve it. She makes sure she has everything she feels she needs to rise up.
