subj,question,response,Opinion,age,gender,ethnicity,ethnicity_TEXT,education,ses,trukID,Condition,DO-BL-DVsandMediators
1,1,2,She is going through general misconceptions amongst many women. She is just confused about certain things and can't decide what to do. Her life revolves around many decisions and she isn't sure what to decide,21,1,5,,2,6,A21X31BK364AFF,2,instruct|pos_affect|neg_affect|life_satis
2,1,4,I must become just like the people that I hang out with every day and every night. I must become one of them and knowing people and befriending people who are celebrities and who know celebrities will help me get to my goal faster,23,1,3,,5,5,A1UTBDKOQ2MKUD,2,instruct|life_satis|pos_affect|neg_affect
3,1,5,Doesn't sound like there's  very much going on inside Maria's head aside from the overwhelming desire to feel popular. But I imagine if you could get to the core of the person you'd find a very sad soul.,32,1,5,,1,9,A2LL81ERU0Y7E6,2,instruct|neg_affect|pos_affect|life_satis
4,1,5,"I think Maria keeps herself so busy that she doesn't ever have time to seriously consider what she wants out of life or how to make her happy in the long run. Although this might seem like a good idea (because she doesn't have time to feel negative emotions), I think it will catch up to her at some point).",28,1,5,,5,6,ADQ27JG7OMACZ,2,instruct|pos_affect|life_satis|neg_affect
5,1,3,"She is under the immpression that you have to be wealthy and famous to not only be happy, but to be worth her time. She believes she is doing what's right for her. Sadly, in the long run it is the exact opposite and she will likely lose her old friends.",19,1,5,,2,6,A1BFO1ZAS64NUZ,2,instruct|life_satis|pos_affect|neg_affect
6,1,2,"I think Maria is very self-involved to the point of border line narcissism. In particularly the line that tipped this off to me is that she is ignoring all friends unless they can bring a celebrity to the table. When someone begins sacrificing authentic connections in the name of passing pleasure, it is a sign that they are coming unhinged. So while I agree that technically she is experiencing ""positive"" emotions at this moment, I think she probably deeply unhappy deeper in her mind, as she sees her life become less substantive and becomes more ingrained in a world that doesn't value her anymore more than she values it. ",33,1,5,,6,4,A3SU7063J33LPR,2,instruct|neg_affect|life_satis|pos_affect
7,1,6,"Maria believes that happiness is going to follow becoming popular, and that the process is in essence a happy way to live your life. Many people strive to complete certain tasks or goals in their life. Her goal is no different though be it a bit more shallow in my opinion. Maria is happy doing what she believes will make her happy.",30,1,5,,4,8,A2NSCWL95KUIG6,2,instruct|life_satis|pos_affect|neg_affect
8,1,4,Maria is confused about her life.  She's not able to fully understand her emotions and wants in life. I feel she's a little young and immature and needs to get control of her life. ,47,2,5,,4,5,A387WXZGACGSO0,2,instruct|life_satis|pos_affect|neg_affect
9,1,5,"I think, in Maria's mind, her number one goal is to get and stay in with the popular crowd. She wants people to like her, and she wants to be surrounded by famous people. She doesn't care about her old friends anymore, because she has no use for them anymore. Her old friends aren't on her mind at all. ",24,1,1,,4,5,A310OMOTSI6J7E,2,instruct|neg_affect|life_satis|pos_affect
10,1,7,"Maria is extremely insecure, but she's heard from many others that you have to ""fake it 'til you make it"". She lives by this philosophy religiously and pretends to be someone that she is not.",24,1,3,,5,3,A257UIPAZR9NTN,2,instruct|life_satis|neg_affect|pos_affect
